type,place,price
restaurant ,Moosewood,40.25
restaurant ,Thompson and Bleecker,49
restaurant ,Pokelava,22.05
restaurant ,Koko,26.98
restaurant ,Wings Over,28.46
grocery,Green Star,89.08
grocery,BJ,97.61
grocery,Aldi's,45.64
grocery,Tops,65.35
grocery,Walmart,62.23
grocery,Trader Joes,57.19
grocery,Wegmans,67.91
